"Data","Nazwa","ISIN","Waluta","Kurs otwarcia","Kurs max","Kurs min","Kurs zamknięcia","Zmiana","Wolumen","Liczba Transakcji","Obrót","Liczba otwartych pozycji","Wartość otwartych pozycji","Cena nominalna"
"2019-10-11","CLNPHARMA","PLCLNPH00015","PLN","46.4","46.4","44.1","44.65","-1.87","8319","112","375.11","0","0","0"
"2019-10-11","CNT","PLERGPL00014","PLN","14.2","14.2","14.2","14.2","0","1","1","0.01","0","0","0"
"2019-10-11","COALENERG","LU0646112838","PLN","0.4","0.4","0.4","0.4","0","709","1","0.28","0","0","0"
"2019-10-11","COGNOR","PLCNTSL00014","PLN","1.8","1.8","1.79","1.79","0","78233","46","140.21","0","0","0"
"2019-10-11","COMARCH","PLCOMAR00012","PLN","173","174.5","172","174","0","88","8","15.23","0","0","0"
"2019-10-11","COMP","PLCMP0000017","PLN","63.4","64.2","63.4","64.2","0.31","210","3","13.32","0","0","0"
"2019-10-11","COMPERIA","PLCOMPR00010","PLN","0","0","0","3.46","0","0","0","0","0","0","0"
"2019-10-11","CORMAY","PLCMRAY00029","PLN","0.904","0.913","0.885","0.912","0.89","48561","24","43.56","0","0","0"
"2019-10-11","CPGROUP","PLCPPRK00037","PLN","6.1","6.5","6.09","6.3","4.83","53789","41","334.85","0","0","0"
"2019-10-11","CUBEITG","PLMCINT00013","PLN","0","0","0","0.195","0","0","0","0","0","0","0"
"2019-10-11","CYFRPLSAT","PLCFRPT00013","PLN","27.74","27.74","27.12","27.36","-1.01","164376","591","4493.97","0","0","0"
"2019-10-11","CZTOREBKA","PLCRWTR00022","PLN","0","0","0","0.37","0","0","0","0","0","0","0"
"2019-10-11","DATAWALK","PLPILAB00012","PLN","54.6","54.6","52.2","53.6","-0.74","2505","57","132.33","0","0","0"
"2019-10-11","DEBICA","PLDEBCA00016","PLN","78.6","82.2","78.6","81","2.79","891","20","70.52","0","0","0"
"2019-10-11","DECORA","PLDECOR00013","PLN","18","18","17.5","17.9","-0.56","334","3","5.85","0","0","0"
"2019-10-11","DEKPOL","PLDEKPL00032","PLN","25.9","25.9","25.9","25.9","-0.38","38","1","0.98","0","0","0"
"2019-10-11","DELKO","PLDELKO00019","PLN","9.5","9.6","9.5","9.6","0","766","8","7.35","0","0","0"
"2019-10-11","DEVELIA","PLLCCRP00017","PLN","2.34","2.35","2.32","2.34","-1.89","156168","86","365.59","0","0","0"
"2019-10-11","DGA","PLDGA0000019","PLN","7.06","7.08","7.06","7.08","0.28","268","34","1.9","0","0","0"
"2019-10-11","DINOPL","PLDINPL00011","PLN","144.9","147.4","144","146.3","1.39","88567","1367","12957.8","0","0","0"
"2019-10-11","DOMDEV","PLDMDVL00012","PLN","81","82.8","81","82.6","0.73","229","7","18.71","0","0","0"
"2019-10-11","DREWEX","PLDREWX00012","PLN","0","0","0","0.55","0","0","0","0","0","0","0"
"2019-10-11","DROP","PLDROP000011","PLN","0.15","0.15","0.15","0.15","10.29","34","1","0.01","0","0","0"
"2019-10-11","DROZAPOL","PLDRZPL00032","PLN","1.32","1.32","1.25","1.28","-3.03","2177","14","2.75","0","0","0"
"2019-10-11","ECHO","PLECHPS00019","PLN","4.3","4.48","4.27","4.475","4.56","101996","100","442.47","0","0","0"
"2019-10-11","EDINVEST","PLEDINV00014","PLN","0","0","0","1.96","0","0","0","0","0","0","0"
